team,nickname,abbreviation,league,stadium,stadium_address,area,capacity,manager,is_player_manager
Real Zaragoza,,RLZ,Others,La Romareda,,,43554,,False
Ajax,,AJA,Others,XX215,,,35000,,False
Feyenoord,,FEY,Others,Feyenord St,,,52000,,False
PSV Eindhoven,,PSV,Others,Phillips St,,,30000,,False
Vitesse,,VIT,Others,Monnikenhuize,,,12000,,False
Twente,,TWE,Others,Het Diekman,,,18000,,False
Partizan,,PTZ,Others,Qemal Stafa,,,20000,,False
Teuta Durres,,TEU,Others,Teuta St,,,10000,,False
Shirak Gyumri,,SHI,Others,XX216,,,10000,,False
Kapaz Ganja,,KZG,Others,XX217,,,10000,,False
Rapid Vienna,,RPV,Others,Gerhard Hanappi,,,10000,,False
Admira Wacker,,ADW,Others,Bundesstadion,,,10000,,False
Austria Vienna,,AUV,Others,Horr,,,105000,,False
Din. Minsk,,DIN,Others,Dinamo (DM),,,50000,,False
Slavia Sofia,,SLA,Others,Slavia,,,32000,,False
Leveski Sofia,,LEV,Others,Georgi Asparuchov,,,60000,,False
Neftochimik,,NEF,Others,Neftochimik St,,,22000,,False
CSKA Sofia,,CSS,Others,Bulgarska Armia,,,30000,,False
Toulon,,TOU,French Division 2,Mayol,Avenue de Republique,,13000,,False
Hadjuk Split,,HAD,Others,Foljud,,,50000,,False
Omonia Nicosia,,OMO,Others,Makarion (ON),5 Papanicoli Street,,20000,,False
APOEL Nicosia,,APO,Others,Makarion (APOEL),,,20000,,False
Slavia Prague,,SLP,Others,Dr. Vacka,,,16320,,False
Sparta Prague,,SPP,Others,Letna,,,22239,,False
Banik Ostrava,,BAN,Others,Bazaly,,,19500,,False
Brondby,,BRO,Others,Brondby St,,,22600,,False
Silkeborg,,SIL,Others,Silkeborg,,,12000,,False
Aarhus,,AAR,Others,Aarhus St,,,20000,,False
Odense,,ODE,Others,Odense,,,20400,,False
Flora,,FLO,Others,Kadriorg,,,6000,,False
Itrottarfelag,,ITR,Others,Gotu,,,3000,,False
MYPA,,MYP,Others,Saviniemi,,,8000,,False
Samtredia,,SMT,Others,Erosi Manjgaladze,,,15000,,False
Din. Tibilisi,,DNT,Others,Boris Paichadze,,,75000,,False
Athens,,ATH,Others,Nikos Goumas,,,33494,,False
Panathinaikos,,PAN,Others,Oaka,,,74433,,False
Olympiakos,,OLY,Others,Karaiskakis,,,34023,,False
Ferencvaros,,FER,Others,Ulloiut,,,18000,,False
Budapest,,BUP,Others,Hungariauti,,,24000,,False
Hafnarfjardar,,HAF,Others,Kaplakriki,,,3000,,False
Betar Jerusalem,,JER,Others,Malcha,,,13000,,False
Skonto Riga,,SKO,Others,Daugava,,,5000,,False
Vaduz,,VAD,Others,XX219,,,10000,,False
Inkaraz Grifas,,INK,Others,Inkaras,,,2000,,False
Jeunesse,,JEU,Others,Dela Fontiere,,,7000,,False
Spora,,LUX,Others,Municipal (SL),,,9200,,False
Sliema,,SLI,Others,Ta Qali (SW),,,18000,,False
Hibernians,,HBS,Others,Ta Qali (HIBS),,,18000,,False
Tiligul Tiraspol,,TIL,Others,XX220,,,5000,,False
Troyes,,TRO,French Division 2,Stade de L'Aube,,,10000,,False
Glenavon,,GLE,Others,Mourneview Park,,,15000,,False
Crusaders,,CRU,Others,Seaview,,,9000,,False
Linfield,,LNF,Others,Windsor Park,,,28500,,False
Rosenborg,,ROS,Others,Lerkendal,,,28455,,False
Lillestrom,,LLM,Others,Arasen,,,12000,,False
Stravanger,,STV,Others,XX222,,,5000,,False
Widzew Lodz,,WID,Others,Widzew St,,,22000,,False
Katowice,,KAT,Others,GKS St,,,14000,,False
Legia Warsaw,,LEG,Others,Wojska Polskiego,,,21940,,False
Derry,,DYC,Others,The Brandywell,,,11500,,False
Bohemians,,BOH,Others,Dalymount Park,,,25000,,False
Shamrock,,SHA,Others,RDS Showgrounds,,,22000,,False
Din. Bucharest,,DNB,Others,Dinamo (DB),,,18000,,False
Uni Craiova,,UNI,Others,Central UC,,,35000,,False
Steaua Bucharest,,STB,Others,Steaua,,,30000,,False
